Year,Month,Zone,P_Conflict,Gov_Weakness,Trigger_Level,Season,Is_Conflict,Conflict_Name
2008,1,Zone_1,0.217,Fragile,Medium,Dry,False,
2008,1,Zone_2,0.217,Fragile,Medium,Dry,False,
2008,1,Zone_3,0.0283,Fragile,Medium,Dry,False,
2008,1,Zone_4,0.0133,Fragile,Medium,Dry,False,
2008,2,Zone_1,0.217,Fragile,Medium,Dry,False,
2008,2,Zone_2,0.217,Fragile,Medium,Dry,False,
2008,2,Zone_3,0.0283,Fragile,Medium,Dry,False,
2008,2,Zone_4,0.0133,Fragile,Medium,Dry,False,
2008,3,Zone_1,0.217,Fragile,Medium,Dry,False,
2008,3,Zone_2,0.217,Fragile,Medium,Dry,False,
2008,3,Zone_3,0.0283,Fragile,Medium,Dry,False,
2008,3,Zone_4,0.0133,Fragile,Medium,Dry,False,
2008,4,Zone_1,0.217,Fragile,Medium,Dry,False,
2008,4,Zone_2,0.217,Fragile,Medium,Dry,False,
2008,4,Zone_3,0.0283,Fragile,Medium,Dry,False,
2008,4,Zone_4,0.0133,Fragile,Medium,Dry,False,
2008,5,Zone_1,0.15,Fragile,Medium,Mixed,False,
2008,5,Zone_2,0.15,Fragile,Medium,Mixed,False,
2008,5,Zone_3,0.02,Fragile,Medium,Mixed,False,
2008,5,Zone_4,0.0133,Fragile,Medium,Mixed,False,
2008,6,Zone_1,0.15,Fragile,Medium,Mixed,False,
2008,6,Zone_2,0.15,Fragile,Medium,Mixed,False,
2008,6,Zone_3,0.02,Fragile,Medium,Mixed,False,
2008,6,Zone_4,0.0133,Fragile,Medium,Mixed,False,
2008,7,Zone_1,0.15,Fragile,Medium,Mixed,False,
2008,7,Zone_2,0.15,Fragile,Medium,Mixed,False,
2008,7,Zone_3,0.02,Fragile,Medium,Mixed,False,
2008,7,Zone_4,0.0133,Fragile,Medium,Mixed,False,
2008,8,Zone_1,0.15,Fragile,Medium,Mixed,False,
2008,8,Zone_2,0.15,Fragile,Medium,Mixed,False,
2008,8,Zone_3,0.02,Fragile,Medium,Mixed,False,
2008,8,Zone_4,0.0133,Fragile,Medium,Mixed,False,
2008,9,Zone_1,0.15,Fragile,Medium,Mixed,False,
2008,9,Zone_2,0.15,Fragile,Medium,Mixed,False,
2008,9,Zone_3,0.02,Fragile,Medium,Mixed,False,
2008,9,Zone_4,0.0133,Fragile,Medium,Mixed,False,
2008,10,Zone_1,0.15,Fragile,Medium,Mixed,True,Preah Vihear Clashes (Oct 2008)
2008,10,Zone_2,0.15,Fragile,Medium,Mixed,True,Preah Vihear Clashes (Oct 2008)
2008,10,Zone_3,0.02,Fragile,Medium,Mixed,False,
2008,10,Zone_4,0.0133,Fragile,Medium,Mixed,False,
2008,11,Zone_1,0.217,Fragile,Medium,Dry,True,Preah Vihear Clashes (Nov 2008)
2008,11,Zone_2,0.217,Fragile,Medium,Dry,True,Preah Vihear Clashes (Nov 2008)
2008,11,Zone_3,0.0283,Fragile,Medium,Dry,False,
2008,11,Zone_4,0.0133,Fragile,Medium,Dry,False,
2008,12,Zone_1,0.5,Collapsed,Medium,Dry,False,
2008,12,Zone_2,0.5,Collapsed,Medium,Dry,False,
2008,12,Zone_3,0.35,Collapsed,Medium,Dry,False,
2008,12,Zone_4,0.35,Collapsed,Medium,Dry,False,
2009,1,Zone_1,0.217,Fragile,Medium,Dry,False,
2009,1,Zone_2,0.217,Fragile,Medium,Dry,False,
2009,1,Zone_3,0.0283,Fragile,Medium,Dry,False,
2009,1,Zone_4,0.0133,Fragile,Medium,Dry,False,
2009,2,Zone_1,0.217,Fragile,Medium,Dry,False,
2009,2,Zone_2,0.217,Fragile,Medium,Dry,False,
2009,2,Zone_3,0.0283,Fragile,Medium,Dry,False,
2009,2,Zone_4,0.0133,Fragile,Medium,Dry,False,
2009,3,Zone_1,0.217,Fragile,Medium,Dry,False,
2009,3,Zone_2,0.217,Fragile,Medium,Dry,False,
2009,3,Zone_3,0.0283,Fragile,Medium,Dry,False,
2009,3,Zone_4,0.0133,Fragile,Medium,Dry,False,
2009,4,Zone_1,0.217,Fragile,Medium,Dry,False,
2009,4,Zone_2,0.217,Fragile,Medium,Dry,False,
2009,4,Zone_3,0.0283,Fragile,Medium,Dry,False,
2009,4,Zone_4,0.0133,Fragile,Medium,Dry,False,
2009,5,Zone_1,0.15,Fragile,Medium,Mixed,False,
2009,5,Zone_2,0.15,Fragile,Medium,Mixed,False,
2009,5,Zone_3,0.02,Fragile,Medium,Mixed,False,
2009,5,Zone_4,0.0133,Fragile,Medium,Mixed,False,
2009,6,Zone_1,0.15,Fragile,Medium,Mixed,False,
2009,6,Zone_2,0.15,Fragile,Medium,Mixed,False,
2009,6,Zone_3,0.02,Fragile,Medium,Mixed,False,
2009,6,Zone_4,0.0133,Fragile,Medium,Mixed,False,
2009,7,Zone_1,0.15,Fragile,Medium,Mixed,False,
2009,7,Zone_2,0.15,Fragile,Medium,Mixed,False,
2009,7,Zone_3,0.02,Fragile,Medium,Mixed,False,
2009,7,Zone_4,0.0133,Fragile,Medium,Mixed,False,
2009,8,Zone_1,0.15,Fragile,Medium,Mixed,False,
2009,8,Zone_2,0.15,Fragile,Medium,Mixed,False,
2009,8,Zone_3,0.02,Fragile,Medium,Mixed,False,
2009,8,Zone_4,0.0133,Fragile,Medium,Mixed,False,
2009,9,Zone_1,0.15,Fragile,Medium,Mixed,False,
2009,9,Zone_2,0.15,Fragile,Medium,Mixed,False,
2009,9,Zone_3,0.02,Fragile,Medium,Mixed,False,
2009,9,Zone_4,0.0133,Fragile,Medium,Mixed,False,
2009,10,Zone_1,0.15,Fragile,Medium,Mixed,False,
2009,10,Zone_2,0.15,Fragile,Medium,Mixed,False,
2009,10,Zone_3,0.02,Fragile,Medium,Mixed,False,
2009,10,Zone_4,0.0133,Fragile,Medium,Mixed,False,
2009,11,Zone_1,0.217,Fragile,Medium,Dry,False,
2009,11,Zone_2,0.217,Fragile,Medium,Dry,False,
2009,11,Zone_3,0.0283,Fragile,Medium,Dry,False,
2009,11,Zone_4,0.0133,Fragile,Medium,Dry,False,
2009,12,Zone_1,0.217,Fragile,Medium,Dry,False,
2009,12,Zone_2,0.217,Fragile,Medium,Dry,False,
2009,12,Zone_3,0.0283,Fragile,Medium,Dry,False,
2009,12,Zone_4,0.0133,Fragile,Medium,Dry,False,
2010,1,Zone_1,0.14,Fragile,Low,Dry,False,
2010,1,Zone_2,0.14,Fragile,Low,Dry,False,
2010,1,Zone_3,0.02,Fragile,Low,Dry,False,
2010,1,Zone_4,0.01,Fragile,Low,Dry,False,
2010,2,Zone_1,0.14,Fragile,Low,Dry,False,
2010,2,Zone_2,0.14,Fragile,Low,Dry,False,
2010,2,Zone_3,0.02,Fragile,Low,Dry,False,
2010,2,Zone_4,0.01,Fragile,Low,Dry,False,
2010,3,Zone_1,0.14,Fragile,Low,Dry,False,
2010,3,Zone_2,0.14,Fragile,Low,Dry,False,
2010,3,Zone_3,0.02,Fragile,Low,Dry,False,
2010,3,Zone_4,0.01,Fragile,Low,Dry,False,
2010,4,Zone_1,0.14,Fragile,Low,Dry,False,
2010,4,Zone_2,0.14,Fragile,Low,Dry,False,
2010,4,Zone_3,0.02,Fragile,Low,Dry,False,
2010,4,Zone_4,0.01,Fragile,Low,Dry,False,
2010,5,Zone_1,0.1,Fragile,Low,Mixed,False,
2010,5,Zone_2,0.1,Fragile,Low,Mixed,False,
2010,5,Zone_3,0.015,Fragile,Low,Mixed,False,
2010,5,Zone_4,0.01,Fragile,Low,Mixed,False,
2010,6,Zone_1,0.1,Fragile,Low,Mixed,False,
2010,6,Zone_2,0.1,Fragile,Low,Mixed,False,
2010,6,Zone_3,0.015,Fragile,Low,Mixed,False,
2010,6,Zone_4,0.01,Fragile,Low,Mixed,False,
2010,7,Zone_1,0.1,Fragile,Low,Mixed,False,
2010,7,Zone_2,0.1,Fragile,Low,Mixed,False,
2010,7,Zone_3,0.015,Fragile,Low,Mixed,False,
2010,7,Zone_4,0.01,Fragile,Low,Mixed,False,
2010,8,Zone_1,0.1,Fragile,Low,Mixed,False,
2010,8,Zone_2,0.1,Fragile,Low,Mixed,False,
2010,8,Zone_3,0.015,Fragile,Low,Mixed,False,
2010,8,Zone_4,0.01,Fragile,Low,Mixed,False,
2010,9,Zone_1,0.1,Fragile,Low,Mixed,False,
2010,9,Zone_2,0.1,Fragile,Low,Mixed,False,
2010,9,Zone_3,0.015,Fragile,Low,Mixed,False,
2010,9,Zone_4,0.01,Fragile,Low,Mixed,False,
2010,10,Zone_1,0.1,Fragile,Low,Mixed,False,
2010,10,Zone_2,0.1,Fragile,Low,Mixed,False,
2010,10,Zone_3,0.015,Fragile,Low,Mixed,False,
2010,10,Zone_4,0.01,Fragile,Low,Mixed,False,
2010,11,Zone_1,0.14,Fragile,Low,Dry,False,
2010,11,Zone_2,0.14,Fragile,Low,Dry,False,
