zone,time_slice,event_count_disc,fatalities_sum_disc,battle_count_disc,violent_event_count_disc,protest_riot_count_disc,remote_violence_count_disc,violent_event_ratio_disc,fatalities_per_event_disc,acled_tension_disc,border_conflict_risk_disc
Zone_1,2010-01,Medium,Medium,Medium,Medium,Low,Low,High,Medium,Low,Low
Zone_1,2010-02,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Zone_1,2010-03,Medium,Low,Low,Low,Medium,Low,Low,Low,Low,Low
Zone_1,2010-04,Low,Low,Low,Low,Medium,Low,Low,Low,Low,Low
Zone_1,2010-05,Low,Low,Low,Low,Medium,Low,Low,Low,Low,Low
Zone_1,2010-06,Low,Low,Medium,Medium,Low,Low,High,Low,Low,Low
Zone_1,2010-07,Low,Low,Low,Medium,Low,Medium,High,Low,Low,Low
Zone_1,2010-08,Low,Low,Low,Medium,Low,Low,High,Low,Low,Low
Zone_1,2010-09,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Zone_1,2010-11,Low,Medium,Low,Medium,Low,Low,High,High,Low,Low
Zone_1,2010-12,Medium,Medium,Low,Medium,Medium,Low,Medium,Medium,Low,Low
Zone_1,2011-01,Medium,Medium,Low,Medium,Medium,Low,Medium,Medium,Low,Low
Zone_1,2011-02,Medium,Low,Low,Low,Medium,Low,Low,Low,Low,Low
Zone_1,2011-03,Low,Low,Low,Low,Medium,Low,Low,Low,Low,Low
Zone_1,2011-04,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Zone_1,2011-05,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Zone_1,2011-06,Low,Medium,Low,Medium,Low,Low,High,Medium,Low,Low
Zone_1,2011-07,Low,Medium,Low,Medium,Low,Low,High,Medium,Low,Low
Zone_1,2011-08,Low,Low,Low,Medium,Low,Medium,High,Low,Low,Low
Zone_1,2011-10,Low,Medium,Low,Medium,Low,Low,High,Medium,Low,Low
Zone_1,2011-11,Low,Medium,Low,Medium,Low,Low,High,High,Low,Low
Zone_1,2011-12,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Zone_1,2012-01,Low,Low,Low,Low,Medium,Low,Low,Low,Low,Low
Zone_1,2012-02,Low,Medium,Low,Medium,Low,Low,High,High,Low,Low
Zone_1,2012-03,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Zone_1,2012-04,Low,Low,Medium,Medium,Low,Low,High,Low,Low,Low
Zone_1,2012-05,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Zone_1,2012-07,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Zone_1,2012-08,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Zone_1,2012-09,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Zone_1,2012-11,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Zone_1,2012-12,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Zone_1,2013-03,Low,Medium,Low,Medium,Low,Low,High,High,Low,Low
Zone_1,2013-04,Medium,Medium,Low,Medium,Medium,Low,Medium,High,Low,Low
Zone_1,2013-05,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Zone_1,2013-06,Medium,Low,Low,Low,Medium,Low,Low,Low,Low,Low
Zone_1,2013-07,Low,Medium,Low,Medium,Low,Low,High,High,Low,Low
Zone_1,2013-08,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
